     numlons   numlats   numlevs   totpts  slthin quad
      1280       640        60    819200
  lev          asig              bsig  
   60      -73.208358764648438  1280
   61      -72.927330017089844  1280
   62      -72.646301269531250  1280
   63      -72.365280151367188  1280
   64      -72.084251403808594  1280
   65      -71.803222656250000  1280
   66      -71.522193908691406  1280
   67      -71.241165161132812  1280
   68      -70.960128784179688  1280
   69      -70.679100036621094  1280
   70      -70.398078918457031  1280
   71      -70.117034912109375  1280
   72      -69.836013793945312  1280
   73      -69.554985046386719  1280
   74      -69.273963928222656  1280
   75      -68.992919921875000  1280
   76      -68.711891174316406  1280
   77      -68.430862426757812  1280
   78      -68.149841308593750  1280
   79      -67.868812561035156  1280
   80      -67.587776184082031  1280
   81      -67.306739807128906  1280
   82      -67.025718688964844  1280
   83      -66.744689941406250  1280
   84      -66.463661193847656  1280
   85      -66.182632446289062  1280
   86      -65.901603698730469  1280
   87      -65.620567321777344  1280
   88      -65.339530944824219  1280
   89      -65.058502197265625  1280
   90      -64.777473449707031  1280
   91      -64.496444702148438  1280
   92      -64.215415954589844  1280
   93      -63.934383392333984  1280
   94      -63.653362274169922  1280
   95      -63.372322082519531  1280
   96      -63.091293334960938  1280
   97      -62.810264587402344  1280
   98      -62.529239654541016  1280
   99      -62.248210906982422  1280
  100      -61.967174530029297  1280
  101      -61.686145782470703  1280
  102      -61.405117034912109  1280
  103      -61.124084472656250  1280
  104      -60.843055725097656  1280
  105      -60.562026977539062  1280
  106      -60.280990600585938  1280
  107      -59.999965667724609  1280
  108      -59.718936920166016  1280
  109      -59.437900543212891  1280
  110      -59.156871795654297  1280
  111      -58.875843048095703  1280
  112      -58.594818115234375  1280
  113      -58.313789367675781  1280
  114      -58.032752990722656  1280
  115      -57.751724243164062  1280
  116      -57.470699310302734  1280
  117      -57.189662933349609  1280
  118      -56.908634185791016  1280
  119      -56.627601623535156  1280
  120      -56.346576690673828  1280
  121      -56.065544128417969  1280
  122      -55.784515380859375  1280
  123      -55.503479003906250  1280
  124      -55.222454071044922  1280
  125      -54.941425323486328  1280
  126      -54.660392761230469  1280
  127      -54.379364013671875  1280
  128      -54.098331451416016  1280
  129      -53.817306518554688  1280
  130      -53.536273956298828  1280
  131      -53.255241394042969  1280
  132      -52.974208831787109  1280
  133      -52.693180084228516  1280
  134      -52.412155151367188  1280
  135      -52.131122589111328  1280
  136      -51.850090026855469  1280
  137      -51.569061279296875  1280
  138      -51.288036346435547  1280
  139      -51.006999969482422  1280
  140      -50.725967407226562  1280
  141      -50.444942474365234  1280
  142      -50.163909912109375  1280
  143      -49.882884979248047  1280
  144      -49.601848602294922  1280
  145      -49.320819854736328  1280
  146      -49.039787292480469  1280
  147      -48.758758544921875  1280
  148      -48.477725982666016  1280
